Date,Open,High,Low,Close,Volume
2011. 1. 5,80.5,80.5,78.3,78.62,16995
2011. 1. 6,78.16,79,78,78.56,11109
2011. 1. 7,78,79.55,77.65,79.2,24367
2011. 1. 10,79.81,79.84,79.2,79.2,9334
2011. 1. 11,79.02,79.8,78.39,79.18,18231
2011. 1. 12,78.87,79.33,78,78.5,34608
2011. 1. 13,78.46,79.4,78.18,79.23,5762
2011. 1. 14,79.8,79.8,78.29,78.29,15162
2011. 1. 18,77.28,77.83,76.87,77.6,105083
2011. 1. 19,77.49,78.49,77.49,78.34,12067
2011. 1. 20,77.93,77.93,76.45,77.09,22110
2011. 1. 21,76.98,77.77,76.51,77.65,15613
2011. 1. 24,78.12,78.5,77.78,77.89,10331
2011. 1. 25,78.04,79.7,78.04,79.3,12319
2011. 1. 26,79.11,79.11,77.14,77.43,29362
2011. 1. 27,77.15,78.06,76.84,77.8,17876
2011. 1. 28,76.95,78.63,76.5,78.5,21996
2011. 1. 31,78.05,78.22,77.1,77.67,69011
2011. 2. 1,76.58,77.15,76.3,76.46,38655
2011. 2. 2,77.09,77.25,76.25,76.82,12687
2011. 2. 3,76.47,77.03,76,76,48765
2011. 2. 4,75.88,75.9,74.45,74.5,64463
2011. 2. 7,74.53,75.55,74.5,75.2,28139
2011. 2. 8,75.58,75.88,74.48,74.65,14370
2011. 2. 9,74.46,75.95,74.13,75.36,26327
2011. 2. 10,75.4,75.4,74.25,74.25,10590
2011. 2. 11,74.84,75.67,74.7,75.54,25493
2011. 2. 14,75.42,76.69,75.42,76.17,24597
2011. 2. 15,76.1,76.58,75.79,76.5,12995
2011. 2. 16,76.51,76.89,75.78,76.23,16238
2011. 2. 17,76.4,76.4,75.89,76.05,10148
2011. 2. 18,75.72,75.72,75,75.44,7587
2011. 2. 22,76.1,77.54,75.92,77.31,25882
2011. 2. 23,77.28,78.36,77.28,77.9,22134
2011. 2. 24,78.6,79.11,78.37,78.58,19192
2011. 2. 25,78.55,79.4,78.53,79.23,9818
2011. 2. 28,79.5,80.09,79.5,79.77,16945
2011. 3. 1,79.32,80.46,79.06,80.46,17711
2011. 3. 2,79.37,79.74,78.32,78.32,16634
2011. 3. 3,77.89,77.9,76.72,77.21,47590
2011. 3. 4,76.6,77.86,76.6,77.86,2248
2011. 3. 7,76.94,77.91,76.21,77.02,9348
2011. 3. 8,76.94,77.23,76.2,76.2,19312
2011. 3. 9,76.5,77.28,76.2,76.82,7735
2011. 3. 10,77.29,79.39,77.15,79.39,20829
2011. 3. 11,79.45,79.46,78.3,78.8,17002
2011. 3. 14,78.4,78.75,77.9,78.75,11219
2011. 3. 15,79.72,80,79.6,80,24772
2011. 3. 16,80.66,82.5,80.43,81.85,35140
2011. 3. 17,81.08,81.43,80.25,80.5,20996
2011. 3. 18,80,81.28,80,81.04,5551
2011. 3. 21,81.29,81.29,79.9,80.75,20319
2011. 3. 22,80.5,81.12,80.5,81.12,4788
2011. 3. 23,81.87,81.95,80.67,81.1,4030
2011. 3. 24,80.36,80.6,80.07,80.4,11883
2011. 3. 25,79.87,79.91,79,79.08,12461
2011. 3. 28,78.94,79.56,78.78,79.12,5401
2011. 3. 29,78.63,78.81,78.38,78.59,4837
2011. 3. 30,78.4,79.06,78.2,78.92,7589
2011. 3. 31,79.59,79.65,78.34,78.88,13786
2011. 4. 1,78.9,79.72,78.74,79.42,24348
2011. 4. 4,79.5,80.21,79.5,79.54,24215
2011. 4. 5,79.52,79.93,78.98,79.49,11776
2011. 4. 6,79.5,79.5,77.34,77.36,15808
2011. 4. 7,77.14,77.22,76.56,76.62,13380
2011. 4. 8,76.41,77,76.2,76.36,7729
2011. 4. 11,76.35,76.75,75.9,76.18,21745
2011. 4. 12,77.07,77.95,77.07,77.81,11375
2011. 4. 13,77.32,78.45,77.01,78.23,16724
2011. 4. 14,78.62,78.81,77.91,78.61,5383
2011. 4. 15,79.65,80.42,79.45,80.38,18744
2011. 4. 18,79.39,80.49,78.63,80.2,11362
2011. 4. 19,80.59,81,80.22,80.89,11678
2011. 4. 20,80.6,81.05,80.37,80.37,6759
2011. 4. 21,80.16,80.92,79.87,80.1,15619
2011. 4. 25,80.29,80.6,79.95,80.6,21925
2011. 4. 26,80.66,81.57,80.66,81.57,9676
2011. 4. 27,81.42,81.42,80.13,80.2,29868
2011. 4. 28,80.71,80.93,80.3,80.92,5184
2011. 4. 29,80.86,81.42,80.86,81.34,2954
2011. 5. 2,81.07,81.58,81.07,81.46,12145
2011. 5. 3,82.11,82.25,81.49,82.25,16757
2011. 5. 4,82.84,83.41,82.77,83.01,34692
2011. 5. 5,83.5,84.5,83.35,84.3,17301
2011. 5. 6,83.17,84.24,82.65,83.66,34230
2011. 5. 9,83.46,83.88,83.11,83.63,18464
2011. 5. 10,82.86,83.61,82.8,83.14,353692
2011. 5. 11,82.38,84,82.38,83.93,9587
2011. 5. 12,83.9,84,82.52,83.13,14175
2011. 5. 13,83.4,84.33,83.4,84.18,14014
2011. 5. 16,83.8,85.25,83.5,85.1,14860
2011. 5. 17,85.68,86.45,85.26,86.45,80154
2011. 5. 18,85.81,86.17,84.5,84.75,23981
2011. 5. 19,83.46,84.45,83.03,84.03,34587
2011. 5. 20,84.09,84.59,83.83,84.07,9340
2011. 5. 23,84.65,85.63,84.62,85.16,15549
2011. 5. 24,84.59,85.72,84.57,85.26,37376
2011. 5. 25,85.27,85.27,84.61,84.84,1753
2011. 5. 26,85.37,85.85,85.24,85.85,7484
2011. 5. 27,85.49,85.96,85.08,85.96,3376
2011. 5. 31,85.09,86.2,85.09,86,6050
2011. 6. 1,86.59,88,86.59,88,24906
2011. 6. 2,86.24,86.54,85.12,85.35,32831
2011. 6. 3,85.8,86.23,84.3,85.71,17484
2011. 6. 6,84.3,84.77,83.87,84.27,11274
2011. 6. 7,83.71,84.84,83.7,84.84,5881
2011. 6. 8,85.15,86.1,85.14,86.1,15798
