Date,Open,High,Low,Close,Volume
2016. 2. 24,84.65,85.1,84.2,84.48,119122
2016. 2. 25,84.61,84.95,84.41,84.77,95827
2016. 2. 26,84.16,84.66,84.11,84.66,49646
2016. 2. 29,84.46,84.71,84.36,84.42,251913
2016. 3. 1,84.4,84.5,83.64,83.96,254314
2016. 3. 2,83.45,84.09,83.45,83.92,143046
2016. 3. 3,84.16,84.71,84.02,84.66,220774
2016. 3. 4,84.44,84.66,84.11,84.66,304169
2016. 3. 7,84.8,85.1,84.47,85.05,553660
2016. 3. 8,85.57,85.96,85.45,85.84,299359
2016. 3. 9,85.78,85.94,85.65,85.85,69765
2016. 3. 10,86.33,86.51,85.67,86.3,724809
2016. 3. 11,86.89,87.26,86.76,87.21,441482
2016. 3. 14,87.26,87.75,86.98,87.61,397739
2016. 3. 15,87.61,87.67,87.25,87.43,151458
2016. 3. 16,87.67,87.83,86.97,87.47,262165
2016. 3. 17,87.99,88.5,87.84,88.04,33426
2016. 3. 18,88.27,88.76,88.16,88.5,363089
2016. 3. 21,88.61,88.8,88.18,88.71,418214
2016. 3. 22,88.79,88.92,88.05,88.27,317505
2016. 3. 23,88.51,88.55,88.25,88.42,144526
2016. 3. 24,88.95,88.95,87.92,88.31,169978
2016. 3. 28,88.8,88.85,88.15,88.52,300380
2016. 3. 29,89.03,89.61,88.8,89.61,331641
2016. 3. 30,89.32,89.32,89.02,89.16,302799
2016. 3. 31,89.61,89.67,89.22,89.45,745105
2016. 4. 1,89.4,89.64,89.09,89.64,337107
2016. 4. 4,89.71,90.14,89.5,89.54,387628
2016. 4. 5,90.12,90.17,89.86,90.05,324744
2016. 4. 6,89.96,90.17,89.79,90.05,448731
2016. 4. 7,90.74,90.91,90.27,90.5,472645
2016. 4. 8,90.48,90.68,90.27,90.36,225805
2016. 4. 11,90.14,90.48,90.01,90.26,222158
2016. 4. 12,89.96,90.01,89.19,89.29,426025
2016. 4. 13,89.41,89.97,89.14,89.64,874070
2016. 4. 14,89.97,90.01,89.51,89.69,243168
2016. 4. 15,90.18,90.34,89.85,90.06,204773
2016. 4. 18,90.14,90.49,89.85,90.47,352242
2016. 4. 19,90.56,90.89,90.28,90.71,190877
2016. 4. 20,90.9,91.12,90.41,90.48,463670
2016. 4. 21,90.28,90.48,90.17,90.3,180724
2016. 4. 22,90.55,90.68,90.27,90.46,112551
2016. 4. 25,90.41,90.41,90.05,90.16,89701
2016. 4. 26,90.11,90.39,89.88,90.07,209089
2016. 4. 27,90.48,90.88,90.25,90.79,103133
2016. 4. 28,90.55,91.1,90.55,91.09,72563
2016. 4. 29,90.94,91.37,90.66,91.21,159683
